index,time,High_level,linear_acc.x,linear_acc.y,linear_acc.z,gyro.z,gyro.x,gyro.y
0,0.0,Sprinting,-1583.0,1276.0,2118.0,-6.0,5.0,-1.0
1,0.0,Sprinting,-1583.0,1276.0,2118.0,-6.0,5.0,-1.0
2,0.01998734474182129,Sprinting,-1963.0,1402.0,1916.0,-7.0,12.0,5.0
3,0.04111790657043457,Sprinting,-1898.0,1442.0,1848.0,-10.0,13.0,11.0
4,0.057001590728759766,Sprinting,-1566.0,1408.0,1672.0,-14.0,12.0,18.0
6,0.07713699340820312,Sprinting,-713.0,1247.0,713.0,-19.0,21.0,23.0
7,0.09763097763061523,Sprinting,-452.0,1322.0,294.0,-20.0,26.0,15.0
8,0.11881113052368165,Sprinting,-337.0,1490.0,62.0,-19.0,28.0,4.0
10,0.1389157772064209,Sprinting,-436.0,2136.0,26.0,-20.0,31.0,-10.0
11,0.15886735916137695,Sprinting,-610.0,2345.0,235.0,-18.0,30.0,-12.0
12,0.18010854721069336,Sprinting,-1094.0,2216.0,1318.0,-13.0,25.0,-11.0
13,0.20035314559936526,Sprinting,-1255.0,1960.0,2006.0,-9.0,23.0,-10.0
15,0.2204875946044922,Sprinting,-1297.0,1798.0,2656.0,-4.0,21.0,-12.0
16,0.2409195899963379,Sprinting,-1244.0,2340.0,3445.0,2.0,12.0,-16.0
17,0.2635478973388672,Sprinting,-1231.0,2875.0,3519.0,5.0,11.0,-21.0
19,0.2829854488372803,Sprinting,-1172.0,3280.0,3619.0,7.0,7.0,-30.0
20,0.3029751777648926,Sprinting,-639.0,3219.0,3828.0,12.0,-16.0,-51.0
21,0.32283878326416016,Sprinting,-166.0,2942.0,3792.0,14.0,-23.0,-57.0
23,0.3440346717834473,Sprinting,220.0,2710.0,3680.0,16.0,-28.0,-60.0
24,0.36435604095458973,Sprinting,548.0,2638.0,3718.0,17.0,-33.0,-58.0
25,0.384467363357544,Sprinting,718.0,2702.0,4060.0,16.0,-36.0,-57.0
27,0.4051854610443115,Sprinting,1004.0,2762.0,4383.0,11.0,-41.0,-54.0
28,0.4251134395599365,Sprinting,1402.0,2775.0,4326.0,-3.0,-52.0,-43.0
29,0.4467992782592773,Sprinting,1472.0,2613.0,3907.0,-7.0,-54.0,-38.0
30,0.4668169021606445,Sprinting,1601.0,1798.0,2035.0,-15.0,-50.0,-26.0
32,0.4869029521942138,Sprinting,1580.0,1193.0,598.0,-19.0,-39.0,-24.0
33,0.5072741508483887,Sprinting,1192.0,615.0,-822.0,-21.0,-28.0,-21.0
35,0.5276083946228027,Sprinting,-150.0,-530.0,-3508.0,-27.0,-12.0,-26.0
36,0.5490758419036865,Sprinting,-761.0,-863.0,-4450.0,-24.0,3.0,-53.0
37,0.5691187381744385,Sprinting,-979.0,-1223.0,-4384.0,-12.0,18.0,-84.0
38,0.5893886089324951,Sprinting,-839.0,-1483.0,-3130.0,-5.0,33.0,-115.0
40,0.6099147796630859,Sprinting,-859.0,-1250.0,-806.0,-7.0,39.0,-127.0
41,0.6304597854614258,Sprinting,-1100.0,-582.0,2073.0,-16.0,29.0,-120.0
42,0.6513171195983887,Sprinting,-2577.0,472.0,5356.0,-35.0,13.0,-71.0
44,0.6718823909759521,Sprinting,-3094.0,901.0,6994.0,-28.0,18.0,-60.0
45,0.6915419101715088,Sprinting,-3662.0,2067.0,10167.0,-24.0,15.0,-34.0
46,0.7127118110656738,Sprinting,-3672.0,2811.0,10678.0,-27.0,20.0,-15.0
48,0.732818603515625,Sprinting,-3331.0,3152.0,10739.0,-29.0,20.0,3.0
49,0.7528436183929443,Sprinting,-2946.0,3158.0,10481.0,-32.0,8.0,21.0
50,0.7739503383636475,Sprinting,-2693.0,3126.0,10117.0,-31.0,-7.0,25.0
51,0.794011116027832,Sprinting,-2309.0,2979.0,9381.0,-31.0,-30.0,31.0
53,0.814741849899292,Sprinting,-1877.0,1976.0,4916.0,-31.0,-59.0,58.0
54,0.8349559307098389,Sprinting,-1785.0,1545.0,1768.0,-34.0,-51.0,63.0
55,0.8559019565582275,Sprinting,-1769.0,1019.0,-1022.0,-36.0,-40.0,58.0
57,0.8756709098815918,Sprinting,-1663.0,487.0,-3236.0,-35.0,-30.0,49.0
58,0.8961477279663086,Sprinting,932.0,-180.0,-5606.0,-32.0,-8.0,-27.0
59,0.9169504642486572,Sprinting,3754.0,-1332.0,-5610.0,-30.0,4.0,-123.0
61,0.9380474090576172,Sprinting,9107.0,-2458.0,588.0,0.0,25.0,-164.0
62,0.9578511714935304,Sprinting,9678.0,-2815.0,3446.0,-21.0,-34.0,-83.0
63,0.9784095287322998,Sprinting,7405.0,-4420.0,4048.0,-34.0,-66.0,-147.0
64,0.9988343715667723,Sprinting,5601.0,-4562.0,3978.0,-40.0,-71.0,-115.0
66,1.019491195678711,Sprinting,3910.0,-4603.0,2947.0,-43.0,-79.0,-75.0
67,1.0397090911865234,Sprinting,690.0,-3413.0,-1088.0,-51.0,-65.0,-56.0
68,1.0605754852294922,Sprinting,-982.0,-2297.0,-3100.0,-49.0,-51.0,-58.0
70,1.0806598663330078,Sprinting,-2471.0,-1034.0,-4733.0,-41.0,-34.0,-56.0
71,1.1014118194580078,Sprinting,-3805.0,3808.0,-4972.0,-21.0,-28.0,-73.0
72,1.1220543384552002,Sprinting,-3771.0,5423.0,-4730.0,-10.0,-35.0,-73.0
73,1.1389484405517578,Sprinting,-3523.0,5370.0,-4947.0,-6.0,-32.0,-61.0
75,1.158369541168213,Sprinting,-1963.0,3585.0,-5376.0,-3.0,-22.0,-32.0
76,1.17952299118042,Sprinting,-650.0,2820.0,-5091.0,-1.0,-22.0,-37.0
77,1.200200080871582,Sprinting,1450.0,877.0,-3513.0,0.0,-28.0,-29.0
79,1.2203421592712402,Sprinting,987.0,-1401.0,-2615.0,-4.0,1.0,-5.0
80,1.2404236793518066,Sprinting,354.0,-4704.0,-931.0,-19.0,68.0,9.0
81,1.2607295513153076,Sprinting,2175.0,-4941.0,5851.0,-46.0,30.0,-103.0
83,1.2812228202819824,Sprinting,1477.0,-4752.0,7197.0,-32.0,-8.0,-99.0
84,1.302480697631836,Sprinting,1072.0,-3375.0,7252.0,-27.0,-3.0,-75.0
