index,time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
0,0.0,Inactive,382.0,-382.0,1972.0
1,0.0,Inactive,382.0,-382.0,1972.0
2,0.020985841800000002,Inactive,420.0,-213.0,2028.0
3,0.041613102,Inactive,416.0,-119.0,2060.0
4,0.0614740849,Inactive,333.0,-127.0,2081.0
5,0.0648896694,Inactive,,,
6,0.0820930004,Inactive,299.0,-138.0,2059.0
7,0.10250711439999999,Inactive,239.0,-144.0,2148.0
8,0.1229510307,Inactive,191.0,-92.0,2235.0
9,0.13341903689999998,Inactive,,,
10,0.14510345460000001,Inactive,154.0,13.0,2227.0
11,0.1639251709,Inactive,234.0,67.0,1857.0
12,0.18474507329999998,Inactive,243.0,-46.0,1666.0
13,0.19877481460000002,Inactive,,,
14,0.2073011398,Inactive,247.0,-192.0,1568.0
15,0.2253439426,Inactive,263.0,-391.0,1770.0
16,0.24581575390000002,Inactive,206.0,-459.0,1906.0
17,0.2662117481,Inactive,,,
18,0.2662241459,Inactive,149.0,-505.0,1944.0
19,0.286863327,Inactive,130.0,-491.0,1866.0
20,0.3073000908,Inactive,149.0,-457.0,1825.0
21,0.3276295662,Inactive,142.0,-357.0,1878.0
22,0.33084130289999997,Inactive,,,
23,0.3482956886,Inactive,103.0,-309.0,1917.0
24,0.368799448,Inactive,74.0,-284.0,1956.0
25,0.3890993595,Inactive,68.0,-291.0,1995.0
26,0.3994314671,Inactive,,,
27,0.4098305702,Inactive,85.0,-328.0,2024.0
28,0.4304647446,Inactive,96.0,-372.0,2025.0
29,0.45089244840000003,Inactive,126.0,-419.0,1971.0
30,0.4654893875,Inactive,,,
31,0.4713437557,Inactive,166.0,-411.0,1919.0
32,0.49163293840000005,Inactive,215.0,-399.0,1925.0
33,0.5120267868,Inactive,175.0,-322.0,1912.0
34,0.5291132927000001,Inactive,,,
35,0.5324087143,Inactive,151.0,-296.0,1915.0
36,0.5530898571,Inactive,130.0,-296.0,1908.0
37,0.5738790035,Inactive,134.0,-332.0,1846.0
38,0.5937988758,Inactive,121.0,-336.0,1850.0
39,0.5977780818999999,Inactive,,,
40,0.6195738316,Inactive,68.0,-267.0,1925.0
41,0.6395330429,Inactive,59.0,-213.0,1919.0
42,0.6595170497999999,Inactive,98.0,-186.0,1908.0
43,0.6654450893,Inactive,,,
44,0.6808702945999999,Inactive,243.0,-219.0,1816.0
45,0.700381279,Inactive,291.0,-222.0,1776.0
46,0.7167677879000001,Inactive,376.0,-174.0,1817.0
47,0.7317032814,Inactive,,,
48,0.7378718853,Inactive,440.0,-105.0,1875.0
49,0.7577834129000001,Inactive,493.0,-61.0,1948.0
50,0.7784063816,Inactive,510.0,-28.0,2024.0
51,0.7967941761,Inactive,,,
52,0.7986655235,Inactive,495.0,-49.0,1960.0
53,0.8195562363,Inactive,527.0,-61.0,1903.0
54,0.8403477669,Inactive,628.0,-63.0,1940.0
55,0.8601891993999999,Inactive,656.0,9.0,1979.0
56,0.8648548126000001,Inactive,,,
57,0.8809604645,Inactive,690.0,141.0,2019.0
58,0.9012861252,Inactive,784.0,385.0,2034.0
59,0.9215226173000001,Inactive,718.0,451.0,2072.0
60,0.932505846,Inactive,,,
61,0.9425957203,Inactive,549.0,464.0,2080.0
62,0.9628067017,Inactive,482.0,372.0,1840.0
63,0.9833266734999999,Inactive,549.0,358.0,1737.0
64,0.9931707381999999,Inactive,,,
65,1.0058174133,Inactive,658.0,487.0,1630.0
66,1.0239903927,Inactive,654.0,566.0,1614.0
67,1.0447182655,Inactive,644.0,623.0,1646.0
68,1.0607976913,Inactive,,,
69,1.064925909,Inactive,665.0,703.0,1753.0
70,1.0856852531,Inactive,664.0,743.0,1723.0
71,1.1068480015,Inactive,665.0,823.0,1615.0
72,1.1263225079,Inactive,794.0,1090.0,1463.0
73,1.1295723915,Inactive,,,
74,1.1468808651,Inactive,812.0,1265.0,1434.0
75,1.1673116684,Inactive,798.0,1434.0,1396.0
76,1.1878876686,Inactive,764.0,1552.0,1359.0
77,1.1942048073,Inactive,,,
78,1.2094531059,Inactive,692.0,1671.0,1327.0
79,1.2292058468,Inactive,584.0,1792.0,1184.0
80,1.249424696,Inactive,579.0,1910.0,1116.0
81,1.2592861652,Inactive,,,
82,1.2701332569,Inactive,578.0,2072.0,1086.0
83,1.2903125286,Inactive,620.0,2455.0,1317.0
84,1.3109717369,Inactive,655.0,2656.0,1681.0
85,1.3281824589,Inactive,,,
86,1.33116436,Inactive,628.0,2841.0,2246.0
87,1.3518896103,Inactive,-133.0,3008.0,3810.0
88,1.3729755878,Inactive,-625.0,2967.0,4657.0
