time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
0.0,Walking,345.0,-2701.0,-466.0
0.0,Walking,345.0,-2701.0,-466.0
0.021686792400000002,Walking,442.0,-2287.0,-965.0
0.040944099399999996,Walking,676.0,-1968.0,-1323.0
0.0613389015,Walking,1406.0,-1561.0,-1228.0
0.08291554450000001,Walking,1692.0,-1682.0,-919.0
0.10242176060000001,Walking,1739.0,-2043.0,-751.0
0.1230773926,Walking,1027.0,-1930.0,-935.0
0.1432960033,Walking,649.0,-1346.0,-1057.0
0.164331913,Walking,240.0,-296.0,-1994.0
0.18491530420000002,Walking,309.0,-209.0,-2943.0
0.2047595978,Walking,229.0,-50.0,-3348.0
0.22532510760000002,Walking,-1079.0,-803.0,-751.0
0.24569392199999998,Walking,-2703.0,604.0,2669.0
0.2662773132,Walking,-3561.0,436.0,4982.0
0.28784132,Walking,-3526.0,-2882.0,6520.0
0.3073239326,Walking,-3622.0,-3716.0,4438.0
0.32770919800000003,Walking,-3662.0,-3796.0,2478.0
0.3491261005,Walking,-3607.0,-2334.0,2178.0
0.3685867786,Walking,-3472.0,-1452.0,2883.0
0.3891978264,Walking,-3203.0,-1037.0,3307.0
0.4094979763,Walking,-2189.0,-1054.0,2182.0
0.4303643703,Walking,-1653.0,-1333.0,1284.0
0.4508228302,Walking,-719.0,-1638.0,78.0
0.4713482857,Walking,-362.0,-1630.0,-195.0
0.49157881740000003,Walking,-245.0,-1451.0,-423.0
0.5118718147,Walking,-78.0,-768.0,-1216.0
0.5324635506000001,Walking,87.0,-798.0,-1718.0
0.5543634892,Walking,272.0,-1211.0,-2121.0
0.5734770297999999,Walking,-6.0,-2378.0,-1677.0
0.59410429,Walking,-501.0,-2477.0,-597.0
0.6149828434000001,Walking,-1134.0,-1975.0,643.0
0.6349034309,Walking,-2076.0,-1192.0,1921.0
0.6557588577000001,Walking,-1886.0,-1151.0,1852.0
0.6757404804000001,Walking,-1434.0,-1921.0,1206.0
0.6965665817,Walking,-1504.0,-2570.0,990.0
0.7172648906999999,Walking,-1662.0,-3056.0,945.0
0.7378201485,Walking,-2164.0,-3400.0,651.0
0.7577269077,Walking,-2239.0,-3359.0,122.0
0.7782247066,Walking,-2128.0,-3162.0,-400.0
0.7986917495999999,Walking,-1681.0,-2825.0,-717.0
0.81970644,Walking,-1546.0,-2780.0,-672.0
0.8399257659999999,Walking,-1431.0,-2754.0,-672.0
0.860448122,Walking,-1198.0,-2501.0,-1010.0
0.8763945103,Walking,-1124.0,-2460.0,-1130.0
0.8971683979,Walking,-1122.0,-2521.0,-1228.0
0.9178664684000001,Blocking,-1374.0,-2893.0,-1331.0
0.9381232262,Blocking,-1775.0,-3156.0,-1342.0
0.9584350586,Blocking,-2839.0,-3510.0,-1335.0
0.9789104462,Blocking,-3230.0,-3559.0,-1465.0
0.9992735386,Blocking,-3458.0,-3569.0,-1678.0
1.0201621056,Blocking,-3799.0,-3691.0,-2043.0
1.0406889915000002,Blocking,-3930.0,-3857.0,-1844.0
1.0614209175,Blocking,-4205.0,-3991.0,-1332.0
1.0821368694,Blocking,-5000.0,-4274.0,443.0
1.1017794609,Blocking,-5508.0,-4505.0,1564.0
1.1222076416,Blocking,-5792.0,-4727.0,2796.0
1.1425914764,Blocking,-5351.0,-4750.0,5092.0
1.1631753445,Blocking,-4516.0,-4286.0,5871.0
1.1846401691,Blocking,-2145.0,-2296.0,6652.0
1.2041475773,Blocking,-716.0,-1464.0,6229.0
1.2247588634,Blocking,677.0,-1221.0,5156.0
1.2450675964,Blocking,2766.0,-1264.0,3391.0
1.2661883831,Blocking,3019.0,-882.0,2876.0
1.2868216038,Blocking,3018.0,-351.0,2701.0
1.306522131,Blocking,3173.0,480.0,3354.0
1.3280797005,Blocking,2972.0,628.0,3694.0
1.3485305309,Blocking,2711.0,458.0,3722.0
1.3678894043,Blocking,2360.0,-474.0,2750.0
1.3886079787999999,Blocking,2170.0,-742.0,1833.0
1.4095261097,Blocking,1764.0,-741.0,922.0
1.4296088219,Blocking,242.0,-418.0,-1634.0
1.4505882263,Blocking,-346.0,-495.0,-3099.0
1.4703059196000001,Blocking,-842.0,-1397.0,-5340.0
1.4909095763999998,Blocking,-955.0,-2452.0,-6250.0
1.511346817,Blocking,-1013.0,-3652.0,-6795.0
1.5318241119,Blocking,-991.0,-4775.0,-6253.0
1.5528936386,Blocking,-1245.0,-4475.0,-5482.0
1.5731737613999999,Blocking,-1793.0,-3673.0,-4767.0
1.5940773487,Blocking,-3180.0,-1098.0,-1549.0
1.6139099598,Blocking,-2913.0,-508.0,831.0
1.6343412399000001,Blocking,-2362.0,-556.0,3256.0
1.6551175116999999,Blocking,-2372.0,-920.0,4977.0
1.6751363277000002,Blocking,-3305.0,-1391.0,4548.0
1.6966090202000002,Blocking,-4886.0,-1048.0,3679.0
1.7170033455000002,Blocking,-4574.0,-522.0,3789.0
1.7366800308,Blocking,-3605.0,-133.0,3997.0
1.7571048737000001,Blocking,-1268.0,-341.0,4385.0
1.7775139809,Blocking,-256.0,-427.0,5253.0
1.7982950211000002,Blocking,593.0,-481.0,5152.0
1.8190164566,Blocking,3710.0,-441.0,4433.0
1.8389711380000002,Blocking,5093.0,312.0,5106.0
1.8594453334999999,Blocking,5751.0,1509.0,5680.0
1.8798534869999999,Blocking,5130.0,2108.0,4342.0
1.9003713131,Blocking,4323.0,1540.0,3735.0
