time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Very High,Walking,Very High,Very High,345,-2701,-466,-8,-17,-39,0.3394063413,0.8304803967,0.8154488206
0,Very High,Walking,Very High,Very High,345,-2701,-466,-8,-17,-39,0.3394063413,0.8304803967,0.8154488206
0.0216867924,Very High,Walking,Very High,Very High,442,-2287,-965,-7,-15,-41,,,
0.0409440994,Very High,Walking,Very High,Very High,676,-1968,-1323,-5,-14,-46,,,
0.0613389015,Very High,Walking,Very High,Very High,1406,-1561,-1228,4,-17,-55,,,
0.0692322254,Very High,Walking,Very High,Very High,,,,,,,0.3265430033,0.8177418709,0.8182795644
0.0829155445,Very High,Walking,Very High,Very High,1692,-1682,-919,8,-23,-55,,,
0.1024217606,Very High,Walking,Very High,Very High,1739,-2043,-751,9,-29,-56,,,
0.1230773926,Very High,Walking,Very High,Very High,1027,-1930,-935,13,-29,-36,,,
0.1348323822,Very High,Walking,Very High,Very High,,,,,,,0.3638707101,0.8259970546,0.8164451122
0.1432960033,Very High,Walking,Very High,Very High,649,-1346,-1057,16,-30,-17,,,
0.164331913,Very High,Walking,Very High,Very High,240,-296,-1994,28,-28,14,,,
0.1849153042,Very High,Walking,Very High,Very High,309,-209,-2943,27,-25,14,,,
0.2012112141,Very High,Walking,Very High,Very High,,,,,,,0.3901088238,0.8547801971,0.8100488186
0.2047595978,Very High,Walking,Very High,Very High,229,-50,-3348,20,-37,4,,,
0.2253251076,Very High,Walking,Very High,Very High,-1079,-803,-751,-13,-56,-8,,,
0.245693922,Very High,Walking,Very High,Very High,-2703,604,2669,-6,-35,-22,,,
0.2662773132,Very High,Walking,Very High,Very High,-3561,436,4982,7,31,-33,,,
0.2692940235,Very High,Walking,Very High,Very High,,,,,,,0.4134629071,0.8695632219,0.8067637086
0.28784132,Very High,Walking,Very High,Very High,-3526,-2882,6520,-16,-48,-24,,,
0.3073239326,Very High,Walking,Very High,Very High,-3622,-3716,4438,-23,-47,-31,,,
0.327709198,Very High,Walking,Very High,Very High,-3662,-3796,2478,-28,-22,-42,,,
0.3314857483,Very High,Walking,Very High,Very High,,,,,,,0.3608208001,0.8784521818,0.8047884107
0.3491261005,Very High,Walking,Very High,Very High,-3607,-2334,2178,-30,16,-56,,,
0.3685867786,Very High,Walking,Very High,Very High,-3472,-1452,2883,-27,20,-66,,,
0.3891978264,Very High,Walking,Very High,Very High,-3203,-1037,3307,-27,12,-70,,,
0.3936595917,Very High,Walking,Very High,Very High,,,,,,,0.3538173735,0.8751173615,0.8055294752
0.4094979763,Very High,Walking,Very High,Very High,-2189,-1054,2182,-28,11,-70,,,
0.4303643703,Very High,Walking,Very High,Very High,-1653,-1333,1284,-30,16,-70,,,
0.4508228302,Very High,Walking,Very High,Very High,-719,-1638,78,-37,13,-73,,,
0.4625351429,Very High,Walking,Very High,Very High,,,,,,,0.2677017748,0.8546714783,0.8100730181
0.4713482857,Very High,Walking,Very High,Very High,-362,-1630,-195,-39,4,-74,,,
0.4915788174,Very High,Walking,Very High,Very High,-245,-1451,-423,-40,-7,-73,,,
