time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Very high,Walking,Very high,High,2369,914,494,-13,7,9,0.584122777,1.4727396965,0.6727244854
0,Very high,Walking,Very high,High,2369,914,494,-13,7,9,0.584122777,1.4727396965,0.6727244854
0.0206725597,Very high,Walking,Very high,High,2656,837,-87,-13,12,2,,,
0.0411725044,Very high,Walking,Very high,High,2773,954,-134,-13,12,3,,,
0.0616738796,Very high,Walking,Very high,High,2813,1141,-132,-12,13,5,,,
0.0649800301,Very high,Walking,Very high,High,,,,,,,0.5740148425,1.437384367,0.680581212
0.0826311111,Very high,Walking,Very high,High,2780,1443,70,-12,16,7,,,
0.1025826931,Very high,Walking,Very high,High,2833,1461,344,-15,13,12,,,
0.1235115528,Very high,Walking,Very high,High,2734,1062,708,-24,7,15,,,
0.1284222603,Very high,Walking,Very high,High,,,,,,,0.5723472834,1.3898873329,0.6911361217
0.1441810131,Very high,Walking,Very high,High,2467,846,590,-28,9,11,,,
0.1640486717,Very high,Walking,Very high,High,2170,706,294,-29,14,8,,,
0.1844966412,Very high,Walking,Very high,High,2071,531,-302,-27,22,5,,,
0.1994819641,Very high,Walking,Very high,High,,,,,,,0.5250874758,1.3201237917,0.7066391706
0.2048721313,Very high,Walking,Very high,High,2444,400,-397,-27,20,0,,,
0.2259209156,Very high,Walking,Very high,High,2907,367,-270,-28,17,-9,,,
0.2463319302,Very high,Walking,Very high,High,3675,1046,900,-23,13,-9,,,
0.2647018433,Very high,Walking,Very high,High,,,,,,,0.4388313591,1.2408820391,0.7242484093
0.2662937641,Very high,Walking,Very high,High,4002,1666,1715,-21,14,1,,,
0.2872712612,Very high,Walking,Very high,High,4247,2189,2502,-23,19,1,,,
0.3072271347,Very high,Walking,Very high,High,4449,3232,3583,-21,19,-15,,,
0.3277535439,Very high,Walking,Very high,High,4273,3766,3724,-18,14,-8,,,
0.3374762535,Very high,Walking,Very high,High,,,,,,,0.3610193133,1.1605172157,0.7421072721
0.3485784531,Very high,Walking,Very high,High,4183,4204,3082,-17,9,14,,,
0.3690927029,Very high,Walking,Very high,High,4158,3972,2540,-16,8,17,,,
0.3893864155,Very high,Walking,Very high,High,3721,3463,2098,-13,13,12,,,
0.3979105949,Very high,Walking,Very high,High,,,,,,,0.3175677955,1.0788316727,0.7602596283
0.4105362892,Very high,Walking,Very high,High,2929,2837,1899,-11,23,4,,,
0.4301614761,Very high,Walking,Very high,High,1181,1321,1141,-13,35,12,,,
0.4507038593,Very high,Walking,Very high,High,417,428,686,-13,35,23,,,
0.4699804783,Very high,Walking,Very high,High,,,,,,,0.3664016128,1.1292661428,0.7490519285
0.4710533619,Very high,Walking,Very high,High,-642,-1295,-323,-14,38,43,,,
0.4924604893,Very high,Walking,Very high,High,-716,-2097,-654,-17,28,44,,,
0.5128660202,Very high,Walking,Very high,High,-892,-2562,-684,-17,19,39,,,
0.5323910713,Very high,Walking,Very high,High,,,,,,,0.5913713574,1.1675649881,0.7405411005
0.5325706005,Very high,Walking,Very high,High,-1420,-2543,-268,-14,25,32,,,
0.5532033443,Very high,Walking,Very high,High,-1646,-2491,637,-12,42,18,,,
0.5736711025,Very high,Walking,Very high,High,-18,-2432,3552,-10,26,-6,,,
0.5943272114,Very high,Walking,Very high,High,876,-2224,4762,-8,-5,1,,,
0.5982217789,Very high,Walking,Very high,High,,,,,,,0.6116970181,1.1706507206,0.7398554087
0.6146094799,Very high,Walking,Very high,High,1372,-1962,5119,-7,-28,12,,,
0.634991169,Very high,Walking,Very high,High,1809,-1078,3857,-4,-44,30,,,
0.6557261944,Very high,Walking,Very high,High,1843,-571,2599,2,-46,36,,,
0.6692197323,Very high,Walking,Very high,High,,,,,,,0.6065428257,1.1288918257,0.7491351366
0.676674366,Very high,Walking,Very high,High,1831,-205,1082,9,-44,38,,,
0.6964571476,Very high,Walking,Very high,High,2090,124,-1889,29,-30,28,,,
0.7170605659,Very high,Walking,Very high,High,2156,49,-2896,36,-19,18,,,
0.7374191284,Very high,Walking,Very high,High,1994,-508,-3495,41,-2,3,,,
0.7412700653,Very high,Walking,Very high,High,,,,,,,0.6331845522,1.0178354979,0.7738143206
0.7581138611,Very high,Walking,Very high,High,2000,-850,-3156,40,0,2,,,
0.7799694538,Very high,Walking,Very high,High,2123,-1088,-2556,38,-4,7,,,
0.7988057137,Very high,Walking,Very high,High,2471,-1016,-704,39,-16,24,,,
0.8040528297,Very high,Walking,Very high,High,,,,,,,0.6354961991,0.961676538,0.7862941027
0.8196835518,Very high,Walking,Very high,High,2750,-842,592,39,-27,33,,,
0.8397006989,Very high,Walking,Very high,High,2998,-528,1997,38,-45,41,,,
0.8603200912,Very high,Walking,Very high,High,2410,-258,3400,29,-57,35,,,
0.8708977699,Very high,Walking,Very high,High,,,,,,,0.5920885205,0.9135107398,0.7969976068
0.8813135624,Very high,Walking,Very high,High,1471,-447,3071,22,-36,13,,,
0.9014751911,Very high,Walking,Very high,High,200,-439,2512,24,-13,-9,,,
0.9219288826,Very high,Walking,Very high,High,-978,30,1987,46,-2,6,,,
0.937848568,Very high,Walking,Very high,High,,,,,,,0.5059537292,0.8411291242,0.813082397
0.9432044029,Very high,Walking,Very high,High,-3230,-316,1732,39,13,54,,,
0.9628517628,Very high,Walking,Very high,High,-5974,-1595,1032,-15,99,-28,,,
0.9833304882,Very high,Walking,Very high,High,-3531,-1309,1681,-30,80,-106,,,
1.0036594868,Very high,Walking,Very high,High,-661,-1570,3128,-21,27,-127,,,
1.0066885948,Very high,Walking,Very high,High,,,,,,,0.3876823187,0.7719714046,0.828450799
1.0247244835,Very high,Walking,Very high,High,1542,-2529,4071,-4,-2,-31,,,
1.045627594,Very high,Walking,Very high,High,1833,-2099,3386,-12,8,-2,,,
1.0649778843,Very high,Walking,Very high,High,1792,-1352,2362,-15,9,-2,,,
1.0707807541,Very high,Walking,Very high,High,,,,,,,0.2506094873,0.7109706998,0.8420065045
1.0856821537,Very high,Walking,Very high,High,1550,-663,1506,-16,-3,-13,,,
1.1059532166,Very high,Walking,Very high,High,1348,-24,693,-15,-23,-24,,,
1.1270823479,Very high,Walking,Very high,High,1513,1138,-1165,-6,-40,-44,,,
1.1361167431,Very high,Walking,Very high,High,,,,,,,0.2447675169,0.6677575111,0.8516094685
1.1471874714,Very high,Walking,Very high,High,1943,1814,-1827,3,-35,-44,,,
1.1676118374,Very high,Walking,Very high,High,2431,2218,-2118,9,-28,-33,,,
1.1880626678,Very high,Walking,Very high,High,2832,2238,-2138,12,-23,-21,,,
1.2058300972,Very high,Walking,Very high,High,,,,,,,0.2450030893,0.6663399935,0.8519244194
1.2086033821,Very high,Walking,Very high,High,2970,1618,-1511,17,-18,-12,,,
1.2290019989,Very high,Walking,Very high,High,2699,905,-919,16,-22,-16,,,
1.2496986389,Very high,Walking,Very high,High,1688,-1040,584,5,-47,-37,,,
1.2698390484,Very high,Walking,Very high,High,952,-1636,1372,0,-70,-38,,,
1.2732543945,Very high,Walking,Very high,High,,,,,,,0.2121844441,0.6893966794,0.8468007445
1.2907369137,Very high,Walking,Very high,High,-29,-2038,1324,-2,-83,-39,,,
1.3124446869,Very high,Walking,Very high,High,-4787,-3233,-1192,-17,-52,-129,,,
1.3312785625,Very high,Walking,Very high,High,-10244,-2404,-2286,-18,-4,-149,,,
1.3449039459,Very high,Walking,Very high,High,,,,,,,0.3217771053,0.7077577114,0.8427205086
1.3525776863,Very high,Walking,Very high,High,-13195,-849,-2505,-25,56,-185,,,
