time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Very high,Blocking,Very high,Medium,-857,2750,874,-7,5,-13,0.7153024077,1.2782660723,0.7159408331
0,Very high,Blocking,Very high,Medium,-857,2750,874,-7,5,-13,0.7153024077,1.2782660723,0.7159408331
0.0200791359,Very high,Blocking,Very high,Medium,-987,2725,922,-6,6,-16,,,
0.0403904915,Very high,Blocking,Very high,Medium,-1119,2740,902,-5,8,-16,,,
0.062079668,Very high,Blocking,Very high,Medium,-1226,2920,847,-5,12,-12,,,
0.0742952824,Very high,Blocking,Very high,Medium,,,,,,,0.7021583915,1.2285487652,0.72698915
0.0816540718,Very high,Blocking,Very high,Medium,-1195,3004,885,-6,13,-7,,,
0.1032283306,Very high,Blocking,Very high,Medium,-1036,2945,939,-9,15,4,,,
0.1221060753,Very high,Blocking,Very high,Medium,-915,2820,928,-11,15,4,,,
0.1348326206,Very high,Blocking,Very high,Medium,,,,,,,0.692183435,1.1893082857,0.7357093096
0.1432135105,Very high,Blocking,Very high,Medium,-817,2712,936,-12,13,1,,,
0.1641557217,Very high,Blocking,Very high,Medium,-833,2580,1135,-14,4,-5,,,
0.1836612225,Very high,Blocking,Very high,Medium,-935,2537,1264,-16,1,-5,,,
0.2042155266,Very high,Blocking,Very high,Medium,-1022,2538,1360,-18,1,-3,,,
0.2053656578,Very high,Blocking,Very high,Medium,,,,,,,0.6860131621,1.1467297077,0.7451711893
0.2245662212,Very high,Blocking,Very high,Medium,-1036,2564,1424,-19,3,1,,,
0.24503088,Very high,Blocking,Very high,Medium,-990,2583,1468,-20,5,4,,,
0.2665085793,Very high,Blocking,Very high,Medium,-900,2584,1503,-20,7,6,,,
0.2858800888,Very high,Blocking,Very high,Medium,-574,2561,1529,-21,7,6,,,
0.3047494888,Very high,Blocking,Very high,Medium,,,,,,,0.6805144548,1.1133439541,0.752590239
0.3108296394,Very high,Blocking,Very high,Medium,-399,2633,1488,-22,4,2,,,
0.3280720711,Very high,Blocking,Very high,Medium,-236,2971,1340,-20,-7,-8,,,
0.3476247787,Very high,Blocking,Very high,Medium,-291,3162,1316,-17,-12,-11,,,
0.368294239,Very high,Blocking,Very high,Medium,-377,3233,1433,-14,-17,-12,,,
0.3714885712,Very high,Blocking,Very high,Medium,,,,,,,0.6782672405,1.0736830235,0.7614037991
0.3886864185,Very high,Blocking,Very high,Medium,-700,2772,2325,-17,-31,-8,,,
0.4091315269,Very high,Blocking,Very high,Medium,-1113,2275,2576,-19,-28,-2,,,
0.4298169613,Very high,Blocking,Very high,Medium,-1967,1181,1974,-13,2,16,,,
0.4349479675,Very high,Blocking,Very high,Medium,,,,,,,0.683942616,1.0392035246,0.7690658569
0.4501678944,Very high,Blocking,Very high,Medium,-2000,756,1645,-7,18,20,,,
0.4703481197,Very high,Blocking,Very high,Medium,-1751,414,1759,-3,23,17,,,
0.4907410145,Very high,Blocking,Very high,Medium,-1571,-243,2720,1,13,16,,,
0.5040428638,Very high,Blocking,Very high,Medium,,,,,,,0.672068119,0.994073391,0.7790948153
0.51187253,Very high,Blocking,Very high,Medium,-1407,-186,2868,2,7,18,,,
0.5325746536,Very high,Blocking,Very high,Medium,-982,-65,2630,0,-2,16,,,
0.5523502827,Very high,Blocking,Very high,Medium,215,-112,1202,-8,-2,4,,,
0.5679430962,Very high,Blocking,Very high,Medium,,,,,,,0.6675746441,0.9451580644,0.7899648547
0.573362112,Very high,Blocking,Very high,Medium,666,-117,341,-10,6,-4,,,
0.5935409069,Very high,Blocking,Very high,Medium,759,-118,-394,-9,12,-8,,,
0.6140265465,Very high,Blocking,Very high,Medium,118,-206,-1029,-1,21,1,,,
0.6340913773,Very high,Blocking,Very high,Medium,-192,-178,-860,2,24,11,,,
0.6372437477,Very high,Blocking,Very high,Medium,,,,,,,0.64258039,0.8911696076,0.801962316
0.6546332836,Very high,Blocking,Very high,Medium,-331,-68,-505,3,24,24,,,
0.6756095886,Very high,Blocking,Very high,Medium,-288,280,226,2,22,39,,,
0.6959860325,Very high,Blocking,Very high,Medium,-162,403,487,2,23,37,,,
0.7053778172,Very high,Blocking,Very high,Medium,,,,,,,0.6207973361,0.8433848619,0.8125811219
0.7164008617,Very high,Blocking,Very high,Medium,35,472,886,4,17,28,,,
0.7366781235,Very high,Blocking,Very high,Medium,91,443,960,5,14,25,,,
0.7571020126,Very high,Blocking,Very high,Medium,124,453,889,6,13,24,,,
0.7750952244,Very high,Blocking,Very high,Medium,,,,,,,0.5610350966,0.7991712689,0.8224064112
0.7781116962,Very high,Blocking,Very high,Medium,114,652,494,8,15,28,,,
0.7987806797,Very high,Blocking,Very high,Medium,92,772,358,10,16,32,,,
0.8186359406,Very high,Blocking,Very high,Medium,36,838,331,11,15,36,,,
0.838996172,Very high,Blocking,Very high,Medium,-52,822,480,14,14,47,,,
0.843798399,Very high,Blocking,Very high,Medium,,,,,,,0.3598613739,0.7300681472,0.8377626538
0.8593361378,Very high,Blocking,Very high,Medium,-16,830,579,15,13,49,,,
0.8798069954,Very high,Blocking,Very high,Medium,47,866,633,16,11,50,,,
0.901352644,Very high,Blocking,Very high,Medium,223,1026,712,17,7,52,,,
0.920822382,Very high,Blocking,Very high,Medium,266,1086,796,17,6,54,,,
0.9324581623,Very high,Blocking,Very high,Medium,,,,,,,0.2471225411,0.6250615716,0.861097455
0.9416203499,Very high,Blocking,Very high,Medium,298,1064,1074,16,-3,61,,,
0.9626290798,Very high,Blocking,Very high,Medium,346,1038,1034,16,-5,61,,,
0.9823153019,Very high,Blocking,Very high,Medium,402,1049,896,16,-5,59,,,
1.0027472973,Very high,Blocking,Very high,Medium,,,,,,,0.3013174534,0.5836578012,0.8702982664
1.0030341148,Very high,Blocking,Very high,Medium,658,842,656,17,-7,55,,,
1.0231952667,Very high,Blocking,Very high,Medium,914,568,577,15,-4,50,,,
1.0436377525,Very high,Blocking,Very high,Medium,1148,186,571,15,5,44,,,
1.0652577877,Very high,Blocking,Very high,Medium,1185,-249,1015,15,17,32,,,
1.0697238445,Very high,Blocking,Very high,Medium,,,,,,,0.374812156,0.6212946177,0.8619345427
1.0848038197,Very high,Blocking,Very high,Medium,979,-314,1266,16,11,32,,,
1.1051847935,Very high,Blocking,Very high,Medium,677,-307,1419,16,3,36,,,
1.126591444,Very high,Blocking,Very high,Medium,-106,-587,1325,20,-4,51,,,
1.1320259571,Very high,Blocking,Very high,Medium,,,,,,,0.2772405446,0.5902858377,0.868825376
1.1462540627,Very high,Blocking,Very high,Medium,-470,-1043,1103,25,7,63,,,
1.1670031548,Very high,Blocking,Very high,Medium,-696,-1384,919,31,24,69,,,
