time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Low,Blocking,Very high,High,-2179,4095,-1293,-17,49,-66,0,0,0
0,Low,Blocking,Very high,High,-2179,4095,-1293,-17,49,-66,0,0,0
0.0209541321,Low,Blocking,Very high,High,-1171,1713,-3362,2,32,-41,,,
0.0420222282,Low,Blocking,Very high,High,-1205,48,-4292,10,24,-5,,,
0.0572166443,Low,Blocking,Very high,High,,,,,,,0,0,0
0.0614626408,Low,Blocking,Very high,High,-1374,-1507,-5069,15,25,27,,,
0.0823302269,Low,Blocking,Very high,High,-2556,-3296,-6360,-1,10,37,,,
0.1024501324,Low,Blocking,Very high,High,-3068,-3433,-6439,-4,-8,15,,,
0.1238012314,Low,Blocking,Very high,High,-3456,-2991,-6279,-1,-22,-17,,,
0.124540329,Low,Blocking,Very high,High,,,,,,,0.2878820002,1.4618637562,0.6751413941
0.1443424225,Low,Blocking,Very high,High,-3816,-1469,-6223,12,-15,-64,,,
0.1640121937,Low,Blocking,Very high,High,-3715,-421,-6130,18,-6,-78,,,
0.1848723888,Low,Blocking,Very high,High,-2906,921,-5824,18,5,-81,,,
0.1972947121,Low,Blocking,Very high,High,,,,,,,0.2660660744,1.4761196375,0.6719734073
0.2049174309,Low,Blocking,Very high,High,-1228,2351,-5271,18,25,-68,,,
0.2261166573,Low,Blocking,Very high,High,709,3048,-3970,28,53,-33,,,
0.2464282513,Low,Blocking,Very high,High,-1827,872,1103,63,58,-15,,,
0.2634522915,Low,Blocking,Very high,High,,,,,,,0.1411134601,1.48353374,0.6703258753
0.2662041187,Low,Blocking,Very high,High,-3102,-387,4209,63,12,-17,,,
0.287055254,Low,Blocking,Very high,High,-3127,457,5890,68,-23,-8,,,
0.3077225685,Low,Blocking,Very high,High,-4573,5291,5465,42,10,-45,,,
0.3277666569,Low,Blocking,Very high,High,-6981,6392,5172,30,16,-62,,,
0.3324284554,Low,Blocking,Very high,High,,,,,,,0.1999742091,1.4873179197,0.6694849133
0.3456790447,Low,Blocking,Very high,High,-8849,7377,4908,22,12,-68,,,
0.3645617962,Low,Blocking,Very high,High,-8608,8506,4880,43,11,-74,,,
0.3858437538,Low,Blocking,Very high,High,-7347,8308,5152,47,7,-81,,,
0.4036536217,Low,Blocking,Very high,High,,,,,,,0.2827509344,1.4469664097,0.6784518957
0.4056041241,Low,Blocking,Very high,High,-6137,7604,5262,48,-4,-92,,,
0.4263663292,Low,Blocking,Very high,High,-3849,5860,4270,32,-23,-109,,,
0.4475746155,Low,Blocking,Very high,High,-2679,5051,3105,31,-10,-103,,,
0.4668972492,Low,Blocking,Very high,High,-1309,2702,386,33,41,-65,,,
0.4718785286,Low,Blocking,Very high,High,,,,,,,0.3165743649,1.4061676264,0.6875182986
0.4883887768,Low,Blocking,Very high,High,-709,1112,-576,36,53,-35,,,
0.5092618465,Low,Blocking,Very high,High,-368,-441,-1421,43,59,-4,,,
0.528557539,Low,Blocking,Very high,High,-1335,-1534,-2879,33,36,-17,,,
0.5328140259,Low,Blocking,Very high,High,,,,,,,0.3285614252,1.3695549965,0.6956544518
0.5498380661,Low,Blocking,Very high,High,-963,-955,-2987,12,15,-23,,,
0.5693407059,Low,Blocking,Very high,High,-371,-182,-2990,-7,-3,-30,,,
0.5907948017,Low,Blocking,Very high,High,-1259,-16,-2370,-25,-17,-48,,,
0.6106979847,Low,Blocking,Very high,High,-2696,-555,-974,-31,-9,-58,,,
0.6112627983,Low,Blocking,Very high,High,,,,,,,0.3720585704,1.3317177296,0.7040627003
0.6315498352,Low,Blocking,Very high,High,-3906,-1090,1431,-35,-4,-48,,,
0.6516227722,Low,Blocking,Very high,High,-5254,-2098,6615,-41,-8,35,,,
0.6708061695,Low,Blocking,Very high,High,,,,,,,0.4306733608,1.2711914778,0.7175129652
0.6717720032,Low,Blocking,Very high,High,-5564,-2379,7932,-56,-14,63,,,
0.6928086281,Low,Blocking,Very high,High,-4952,-2169,7962,-97,-39,96,,,
0.7131040096,Low,Blocking,Very high,High,-3752,-1699,6275,-96,-37,91,,,
0.7332904339,Low,Blocking,Very high,High,-2546,-1317,4419,-97,-33,90,,,
0.7438421249,Low,Blocking,Very high,High,,,,,,,0.4246727228,1.1789531708,0.7380104065
0.7541122437,Low,Blocking,Very high,High,-1653,-1774,1309,-95,-64,69,,,
0.7751903534,Low,Blocking,Very high,High,-1279,-1609,-692,-85,-71,40,,,
0.7947006226,Low,Blocking,Very high,High,-774,-805,-3017,-79,-72,26,,,
0.8100709915,Low,Blocking,Very high,High,,,,,,,0.3964746594,1.0830674171,0.7593183517
0.8155241013,Low,Blocking,Very high,High,27,-322,-6623,-67,-66,9,,,
0.8361985683,Low,Blocking,Very high,High,-279,-834,-7971,-66,-59,-11,,,
0.8567333221,Low,Blocking,Very high,High,-548,-1690,-8960,-63,-60,-30,,,
0.8758618832,Low,Blocking,Very high,High,,,,,,,0.3547454774,1.0160665512,0.7742074132
0.8769376278,Low,Blocking,Very high,High,-131,-3364,-9754,-26,-52,-31,,,
0.8977656364,Low,Blocking,Very high,High,1066,-3759,-9160,7,-19,-23,,,
0.9178795815,Low,Blocking,Very high,High,3204,-3860,-8012,49,46,-15,,,
0.9379980564,Low,Blocking,Very high,High,5756,-2266,-1053,149,221,-38,,,
0.9428043365,Low,Blocking,Very high,High,,,,,,,0.3172653913,0.9931538105,0.77929914
0.9586606026,Low,Blocking,Very high,High,1607,-834,2874,136,205,-67,,,
0.9801969528,Low,Blocking,Very high,High,-3488,-575,6560,-3,-23,28,,,
0.9995660782,Low,Blocking,Very high,High,-3024,550,6515,-26,-107,39,,,
1.0074133873,Low,Blocking,Very high,High,,,,,,,0.3267889619,0.9614313245,0.7863485813
1.0200996399,Low,Blocking,Very high,High,-2086,877,4470,-40,-128,18,,,
1.0410168171,Low,Blocking,Very high,High,224,154,326,-39,-40,6,,,
1.0610163212,Low,Blocking,Very high,High,1193,-345,102,-36,-36,19,,,
1.0771489143,Low,Blocking,Very high,High,,,,,,,0.349460721,0.9375657439,0.7916520834
1.0822763443,Low,Blocking,Very high,High,1128,-942,-493,-17,-39,21,,,
1.1023361683,Low,Blocking,Very high,High,-1326,-1374,-2017,-3,-6,21,,,
1.1223084927,Low,Blocking,Very high,High,-1566,-1078,-2964,-17,-12,57,,,
1.138174057,Low,Blocking,Very high,High,,,,,,,0.3338899314,0.874714911,0.8056188822
1.1439809799,Low,Blocking,Very high,High,-222,-1300,-5663,-45,-9,137,,,
1.1636719704,Low,Blocking,Very high,High,510,-2884,-6638,-59,16,149,,,
1.1840615273,Low,Blocking,Very high,High,2766,-5008,-6801,-50,53,154,,,
1.2043180466,Low,Blocking,Very high,High,5029,-8530,1090,13,30,22,,,
1.2090141773,Low,Blocking,Very high,High,,,,,,,0.2863279283,0.8274662495,0.816118598
1.2251520157,Low,Blocking,Very high,High,4657,-7415,4490,43,-4,-62,,,
1.2458043098,Low,Blocking,Very high,High,2981,-5798,6692,17,-65,-58,,,
1.2656908035,Low,Blocking,Very high,High,3211,-2811,7151,-35,-65,108,,,
1.2719769478,Low,Blocking,Very high,High,,,,,,,0.4812827408,0.7928155065,0.8238188028
1.2861750126,Low,Blocking,Very high,High,3134,-3059,4892,-25,-16,144,,,
1.306883812,Low,Blocking,Very high,High,2732,-3615,2536,-34,23,140,,,
1.3272798061,Low,Blocking,Very high,High,2597,-4347,-185,-31,33,83,,,
1.3354382515,Low,Blocking,Very high,High,,,,,,,0.5732895732,0.8094161749,0.8201297522
1.3477318287,Low,Blocking,Very high,High,2085,-4266,-714,-19,8,63,,,
1.3681402206,Low,Blocking,Very high,High,80,-3219,-1768,-4,-27,22,,,
1.3894245625,Low,Blocking,Very high,High,-839,-2104,-2585,-9,-21,4,,,
1.4099268913,Low,Blocking,Very high,High,-1699,-741,-3494,-24,-12,-4,,,
1.4114284515,Low,Blocking,Very high,High,,,,,,,0.5353665352,0.8036583066,0.8214092851
1.4300403595,Low,Blocking,Very high,High,-1977,1052,-4836,-58,-4,34,,,
1.4514071941,Low,Blocking,Very high,High,-1167,1610,-4759,-52,-8,49,,,
1.4704174995,Low,Blocking,Very high,High,70,2187,-4320,-36,-1,31,,,
1.4767830372,Low,Blocking,Very high,High,,,,,,,0.2909876704,0.7311633229,0.8375192881
1.4914681911,Low,Blocking,Very high,High,1706,2572,-3254,-14,14,-6,,,
1.5118503571,Low,Blocking,Very high,High,3725,2102,-1102,23,29,-35,,,
1.5318863392,Low,Blocking,Very high,High,4637,612,1897,62,31,-56,,,
1.5447778702,Low,Blocking,Very high,High,,,,,,,0.3698474169,0.7530460954,0.8326564431
1.5526006222,Low,Blocking,Very high,High,5085,-1796,4724,33,-3,-7,,,
1.5731446743,Low,Blocking,Very high,High,4670,-1779,4181,22,-18,34,,,
1.5936586857,Low,Blocking,Very high,High,2634,-1798,995,-1,-14,67,,,
