time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,Medium,Transient,High,Low,-3312,6931,7096,34,-29,-1,0.2610028982,1.0462476015,0.7675005198
0,Medium,Transient,High,Low,-3312,6931,7096,34,-29,-1,0.2610028982,1.0462476015,0.7675005198
0.0451550484,Medium,Transient,High,Low,-2391,3556,3533,36,-12,6,,,
0.0669169426,Medium,Transient,High,Low,,,,,,,0.2938104272,1.0947270393,0.7567273378
0.0902063847,Medium,Transient,High,Low,-596,3352,1677,26,30,-7,,,
0.1350986958,Medium,Transient,High,Low,-269,2488,1748,33,6,0,,,
0.1378555298,Medium,Transient,High,Low,,,,,,,0.4795430303,1.1738872528,0.7391361594
0.1847259998,Medium,Transient,High,Low,613,3018,-579,11,19,7,,,
0.1998383999,Medium,Transient,High,Low,,,,,,,0.5628196001,1.2286920547,0.7269573212
0.225260973,Medium,Transient,High,Low,20,3405,-1457,11,9,-1,,,
0.2706563473,Medium,Transient,High,Low,-345,3507,-1025,12,13,8,,,
0.2731704712,Medium,Transient,High,Low,,,,,,,0.3999224603,1.232298851,0.7261558175
0.3158993721,Medium,Transient,High,Low,-204,2853,-185,3,19,14,,,
0.3341474533,Medium,Transient,High,Low,,,,,,,0.3824605346,1.2023721933,0.7328062057
0.3604619503,Medium,Transient,High,Low,504,2562,-143,-5,13,14,,,
0.4040665627,Medium,Transient,High,Low,,,,,,,0.3374094665,1.1459720135,0.7453395128
0.4065258503,Medium,Transient,High,Low,-3,2668,-267,-3,18,15,,,
0.4507915974,Medium,Transient,High,Low,-43,2815,1086,1,19,-5,,,
0.471496582,Medium,Transient,High,Low,,,,,,,0.2035507262,1.0590469837,0.7646562457
0.4955248833,Medium,Transient,High,Low,-423,2706,2967,4,1,-9,,,
0.5322225094,Medium,Transient,High,Low,,,,,,,0.3905852437,1.1211923361,0.7508461475
0.5533115864,Medium,Transient,High,Low,-509,2733,1875,4,-9,-15,,,
0.6023104191,Medium,Transient,High,Low,-1038,1824,-131,9,-1,-14,,,
0.6099758148,Medium,Transient,High,Low,,,,,,,0.2929009199,0.9924918413,0.7794462442
0.6439568996,Medium,Transient,High,Low,-1053,1161,347,16,7,-6,,,
0.6891813278,Medium,Transient,High,Low,-76,-787,1859,23,-6,-34,,,
0.6980185509,Medium,Transient,High,Low,,,,,,,0.2798315287,0.9492805004,0.7890487909
0.733038187,Medium,Transient,High,Low,361,-2322,1020,20,-16,-20,,,
0.770316124,Medium,Transient,High,Low,,,,,,,0.3658584654,0.971629262,0.7840824127
0.7789895535,Medium,Transient,High,Low,431,-1818,374,4,4,5,,,
0.8238763809,Medium,Transient,High,Low,276,-434,1720,-7,-13,4,,,
0.8336720467,Medium,Transient,High,Low,,,,,,,0.3592111468,0.9752681255,0.7832737565
0.8683114052,Medium,Transient,High,Low,254,-396,1607,-2,-21,4,,,
0.9061543941,Medium,Transient,High,Low,,,,,,,0.3474067748,0.9799338579,0.7822369337
0.9176299572,Medium,Transient,High,Low,895,-577,297,-13,-22,24,,,
0.9584248066,Medium,Transient,High,Low,882,-366,-999,-15,-15,18,,,
0.9721899033,Medium,Transient,High,Low,,,,,,,0.3614820838,0.9694401026,0.7845688462
1.0036842823,Medium,Transient,High,Low,188,-69,-742,-11,-8,11,,,
1.0423219204,Medium,Inactive,High,Low,,,,,,,0.3568331897,0.9842615128,0.7812752128
1.04864645,Medium,Inactive,High,Low,-363,-48,260,-6,-16,19,,,
1.0941450596,Medium,Inactive,High,Low,-298,138,686,0,-9,23,,,
1.1067621708,Medium,Inactive,High,Low,,,,,,,0.3643934727,1.01717031,0.7739621401
1.1469800472,Medium,Inactive,High,Low,-142,102,727,-3,-13,22,,,
1.1738352776,Medium,Inactive,High,Low,,,,,,,0.3657103777,1.0562027693,0.7652882934
1.1844954491,Medium,Inactive,High,Low,-5,-12,502,-3,-9,22,,,
1.2288756371,Medium,Inactive,High,Low,-185,377,667,0,-2,8,,,
1.2425041199,Medium,Inactive,High,Low,,,,,,,0.3662205637,1.0989898443,0.7557800412
1.2746822834,Medium,Inactive,High,Low,-153,603,864,1,5,3,,,
1.3013899326,Medium,Inactive,High,Low,,,,,,,0.3953183293,1.1352729797,0.7477171421
1.319216013,Medium,Inactive,High,Low,377,710,1204,-2,2,11,,,
1.3644042015,Medium,Inactive,High,Low,968,758,1116,-6,5,-5,,,
1.3694109917,Medium,Inactive,High,Low,,,,,,,0.3918672204,1.1565483809,0.7429892421
1.4091618061,Medium,Inactive,High,Low,562,917,940,-4,12,-10,,,
1.4358034134,Medium,Inactive,High,Low,,,,,,,0.3861418366,1.1560013294,0.7431107759
1.4547724724,Medium,Inactive,High,Low,280,997,693,-4,23,-12,,,
1.4991989136,Medium,Inactive,High,Low,,,,,,,0.4004050791,1.1718581915,0.7395870686
1.5031440258,Medium,Inactive,High,Low,1054,1182,1335,-13,18,-18,,,
1.5446388721,Medium,Inactive,High,Low,1297,1150,1559,-19,6,-28,,,
1.5704610348,Medium,Inactive,High,Low,,,,,,,0.4093199372,1.1667817831,0.7407151461
1.5893080235,Medium,Inactive,High,Low,640,1203,1268,-14,15,-26,,,
1.634209156,Medium,Inactive,High,Low,,,,,,,0.4065787196,1.1627569199,0.7416095734
1.6345226765,Medium,Inactive,High,Low,-547,1446,1026,-10,14,-13,,,
1.6833729744,Medium,Inactive,High,Low,-1615,1484,1220,-3,13,7,,,
1.7042639256,Medium,Inactive,High,Low,,,,,,,0.4205677509,1.1724784374,0.7394492626
1.7244801521,Medium,Inactive,High,Low,-1227,1865,1599,7,25,0,,,
1.7663547993,Medium,Inactive,High,Low,,,,,,,0.4441643357,1.1663991213,0.7408002019
1.7696845531,Medium,Inactive,High,Low,588,2860,402,12,35,-16,,,
1.8186168671,Medium,Inactive,High,Low,1121,2995,-62,2,9,4,,,
1.8383967876,Medium,Inactive,High,Low,,,,,,,0.4602156281,1.1336534023,0.748077035
1.8636143208,Medium,Inactive,High,Low,435,1580,531,7,3,7,,,
1.8972218037,Medium,Inactive,High,Low,,,,,,,0.4405561686,1.0968060493,0.7562653422
1.9048047066,Medium,Inactive,High,Low,681,930,486,4,-29,-17,,,
1.9505319595,Medium,Inactive,High,Low,-2283,386,-483,-2,-27,37,,,
1.9672355652,Medium,Inactive,High,Low,,,,,,,0.4259783924,1.0741457939,0.7613009214
1.9987871647,Medium,Inactive,High,Low,-1917,-367,1154,16,14,26,,,
2.0384848118,Medium,Inactive,High,Low,,,,,,,0.3974577188,1.0618664026,0.7640296817
2.0400285721,Medium,Inactive,High,Low,-16,-1241,3786,14,-26,-4,,,
2.0848557949,Medium,Inactive,High,Low,373,-1584,1925,-6,-7,11,,,
2.1092700958,Medium,Inactive,High,Low,,,,,,,0.3647432923,1.0538400412,0.7658133507
2.1471788883,Medium,Inactive,High,Low,-5,-657,1358,-5,0,1,,,
2.1739156246,Medium,Inactive,High,Low,,,,,,,0.3683328629,1.0588562489,0.7646986246
2.1913905144,Medium,Inactive,High,Low,0,194,383,1,2,-8,,,
2.2335484028,Medium,Inactive,High,Low,,,,,,,0.3262650669,1.0501098633,0.7666422725
2.2363889217,Medium,Inactive,High,Low,166,510,57,-7,3,1,,,
2.2815945148,Medium,Inactive,High,Low,-380,957,9,-10,0,21,,,
2.3011062145,Medium,Inactive,High,Low,,,,,,,0.3648109138,1.1274913549,0.7494463921
2.3268203735,Medium,Inactive,High,Low,-1082,1570,350,-7,8,37,,,
2.3722629547,Medium,Inactive,High,Low,-736,1596,926,-4,0,27,,,
2.3726139069,Medium,Inactive,High,Low,,,,,,,0.360958308,1.1901119947,0.7355306745
