time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,High,Running,Very high,Very high,-2723,-3833,-7639,-32,51,46,0.4216417968,0.52753824,0.8827692866
0.0215044022,High,Running,Very high,Very high,314,-2299,-6078,-34,59,52,,,
0.0415482521,High,Running,Very high,Very high,2228,-316,-5408,-27,72,69,,,
0.0613834858,High,Running,Very high,Very high,4920,1851,-1446,-3,71,30,,,
0.0667562485,High,Running,Very high,Very high,,,,,,,0,0,0
0.0841214657,High,Running,Very high,Very high,4758,2037,1906,-2,79,17,,,
0.1032352448,High,Running,Very high,Very high,4494,570,4149,-18,68,27,,,
0.1228804588,High,Running,Very high,Very high,6343,-333,4146,-65,-16,74,,,
0.1347942352,High,Running,Very high,Very high,,,,,,,0,0,0
0.1440725327,High,Running,Very high,Very high,6533,359,1496,-62,-17,72,,,
0.1638734341,High,Running,Very high,Very high,6438,1263,-189,-55,-9,74,,,
0.1842420101,High,Running,Very high,Very high,7418,3088,2477,-32,24,100,,,
0.1975090504,High,Running,Very high,Very high,,,,,,,0,0,0
0.2053623199,High,Running,Very high,Very high,8442,3155,4238,-25,20,59,,,
0.2251667976,High,Running,Very high,Very high,9882,2713,5343,-32,-16,11,,,
0.2478032112,High,Running,Very high,Very high,9708,1726,4133,-19,-15,52,,,
0.2618975639,High,Running,Very high,Very high,,,,,,,0,0,0
0.2667014599,High,Running,Very high,Very high,9491,1039,2125,-14,-23,89,,,
0.2873888016,High,Running,Very high,Very high,7652,1476,-2685,6,-26,118,,,
0.3082361221,High,Running,Very high,Very high,6311,1516,-4551,16,-16,103,,,
0.3256824017,High,Running,Very high,Very high,,,,,,,0.4166666567,0.1171814725,0.9739596844
0.3275835514,High,Running,Very high,Very high,5402,1118,-5437,26,-8,79,,,
0.3483650684,High,Running,Very high,Very high,4447,-192,-4859,25,-10,48,,,
0.3689343929,High,Running,Very high,Very high,4018,-334,-4127,17,-14,50,,,
0.3890068531,High,Running,Very high,Very high,3722,-93,-3708,11,-13,59,,,
0.4028384686,High,Running,Very high,Very high,,,,,,,0.7295523882,0.5301356316,0.8821920753
0.4100499153,High,Running,Very high,Very high,4092,749,-3312,17,2,66,,,
0.4299662113,High,Running,Very high,Very high,4531,1355,-2689,22,9,71,,,
0.4505963326,High,Running,Very high,Very high,5090,2049,-1572,26,15,78,,,
0.4629430771,High,Running,Very high,Very high,,,,,,,0.7295523882,0,1
0.4719183445,High,Running,Very high,Very high,5802,3015,861,28,6,80,,,
0.4913942814,High,Running,Very high,Very high,5681,2714,1336,27,-3,67,,,
0.5128457546,High,Running,Very high,Very high,5396,2081,1364,26,-16,56,,,
0.5280056,High,Running,Very high,Very high,,,,,,,0.7295523882,0,1
0.5323898792,High,Running,Very high,Very high,4385,1035,332,19,-33,53,,,
0.5533819199,High,Running,Very high,Very high,3687,662,-361,16,-34,56,,,
0.5742604733,High,Running,Very high,Very high,2542,91,-784,9,-13,47,,,
0.593870163,High,Running,Very high,Very high,2196,-197,-484,6,4,35,,,
0.5989596844,High,Running,Very high,Very high,,,,,,,0.7295523882,0.1477285326,0.9671714306
0.6154062748,High,Running,Very high,Very high,2057,-646,-240,5,18,24,,,
0.6358015537,High,Running,Very high,Very high,2490,-1828,500,-1,16,1,,,
0.6554527283,High,Running,Very high,Very high,2627,-1654,1328,-4,7,-6,,,
0.6616849899,High,Running,Very high,Very high,,,,,,,0.7295523882,0.1207175851,0.9731738567
0.6767587662,High,Running,Very high,Very high,2807,-1052,2041,-5,1,-7,,,
0.6920838356,High,Running,Very high,Very high,2963,-106,2157,-4,4,-9,,,
0.7135970592,High,Running,Very high,Very high,2895,-132,1702,-5,5,-14,,,
0.7330112457,High,Running,Very high,Very high,2897,-144,1135,-10,7,-15,,,
0.7334537506,High,Running,Very high,Very high,,,,,,,0.7295523882,0.0804281831,0.9821270704
0.7546467781,High,Running,Very high,Very high,2895,275,-76,-17,10,-8,,,
0.775033474,High,Running,Very high,Very high,3474,867,-528,-14,9,-3,,,
0.7947568893,High,Running,Very high,Very high,4145,2140,189,1,2,13,,,
0.7962534428,High,Running,Very high,Very high,,,,,,,0.7295523882,0,1
0.8153972626,High,Running,Very high,Very high,3961,2042,1050,1,1,12,,,
0.8355095387,High,Running,Very high,Very high,3532,1666,1600,-4,-3,13,,,
0.8562908173,High,Running,Very high,Very high,2703,716,1234,-10,-6,10,,,
0.8626167774,High,Running,Very high,Very high,,,,,,,0.7295523882,0,1
0.8771715164,High,Running,Very high,Very high,2618,569,920,-11,-5,8,,,
0.8970701694,High,Running,Very high,Very high,2770,693,801,-11,-4,6,,,
0.9180965424,High,Running,Very high,Very high,3199,960,882,-5,-7,7,,,
0.9289486408,High,Running,Very high,Very high,,,,,,,0.7295523882,0.0107856318,0.997603178
0.9396953583,High,Running,Very high,Very high,3360,1219,793,-1,-10,10,,,
0.9584424496,High,Running,Very high,Very high,3392,1601,685,3,-10,17,,,
0.9787721634,High,Running,Very high,Very high,3199,2052,577,3,-4,30,,,
0.999355793,High,Running,Very high,Very high,3174,1930,754,1,-2,30,,,
1.0002963543,High,Running,Very high,Very high,,,,,,,0.7295523882,0,1
1.0201010704,High,Running,Very high,Very high,3197,1667,1043,-2,-4,27,,,
1.0431416035,High,Running,Very high,Very high,3216,1128,1291,-3,-15,18,,,
1.0607888699,High,Running,Very high,Very high,3219,895,1217,-2,-19,12,,,
1.0670442581,High,Running,Very high,Very high,,,,,,,0.7295523882,0.0234380439,0.9947915673
1.0816178322,High,Running,Very high,Very high,2501,395,582,-5,-21,6,,,
1.1017251015,High,Running,Very high,Very high,1787,-139,-126,-8,-12,1,,,
1.1228804588,High,Running,Very high,Very high,1380,-769,-745,-12,-1,-11,,,
1.1375579834,High,Running,Very high,Very high,,,,,,,0.7295523882,0.0851911455,0.9810686111
1.1440484524,High,Running,Very high,Very high,1654,-1161,-109,-18,1,-27,,,
1.1631202698,High,Running,Very high,Very high,1963,-772,987,-18,-1,-24,,,
1.1836385727,High,Running,Very high,Very high,2473,-214,2160,-17,-2,-19,,,
1.2042253017,High,Running,Very high,Very high,2958,761,3146,-14,-11,-14,,,
1.2186405659,High,Inactive,Very high,Very high,,,,,,,0.5152457952,0.3696440458,0.9178568721
1.2245779037,High,Inactive,Very high,Very high,2897,825,2603,-10,-7,-19,,,
1.2463231087,High,Inactive,Very high,Very high,2810,527,1846,-8,-1,-24,,,
1.26547575,High,Inactive,Very high,Very high,2547,-459,536,-9,5,-32,,,
1.2863297462,High,Inactive,Very high,Very high,2360,-778,167,-10,8,-36,,,
1.3071856499,High,Inactive,Very high,Very high,2217,-734,404,-9,12,-38,,,
1.3141851425,High,Inactive,Very high,Very high,,,,,,,0.5059263706,0.5454424024,0.8787905574
1.3269069195,High,Inactive,Very high,Very high,2395,-493,899,-6,11,-35,,,
1.3475096226,High,Inactive,Very high,Very high,2671,-249,1541,-3,8,-31,,,
1.3685152531,High,Inactive,Very high,Very high,2959,5,2498,3,-1,-18,,,
1.3843586445,High,Inactive,Very high,Very high,,,,,,,0.4787273407,0.6724137664,0.8505747318
1.3884234428,High,Inactive,Very high,Very high,2969,18,2641,4,-4,-13,,,
1.4091286659,High,Inactive,Very high,Very high,2836,-55,2561,6,-6,-9,,,
1.4294285774,High,Inactive,Very high,Very high,2603,-139,2336,6,-6,-5,,,
1.4498405457,High,Inactive,Very high,Very high,2379,-288,2055,6,-7,-3,,,
1.4579172134,High,Inactive,Very high,Very high,,,,,,,0.4629576206,0.6948835254,0.8455814123
1.4709818363,High,Inactive,Very high,Very high,2036,-712,1720,3,-7,-5,,,
1.4911994934,High,Inactive,Very high,Very high,1876,-815,1626,0,-9,-5,,,
1.511854887,High,Inactive,Very high,Very high,1605,-786,1552,-2,-10,-5,,,
1.5319142342,High,Inactive,Very high,Very high,794,-588,1948,-9,-10,7,,,
1.5442163944,High,Inactive,Very high,Very high,,,,,,,0.4461821318,0.7628617883,0.8304751515
1.5523614883,High,Inactive,Very high,Very high,-52,-245,2651,-13,-10,12,,,
1.573094368,High,Inactive,Very high,Very high,-779,81,3129,-21,-9,2,,,
1.5932221413,High,Inactive,Very high,Very high,-475,1665,1981,-29,-1,-26,,,
1.6138679981,High,Inactive,Very high,Very high,478,2177,1261,-25,3,-34,,,
1.6193425655,High,Inactive,Very high,Very high,,,,,,,0.4328451753,0.7866672277,0.8251850605
1.634932518,High,Inactive,Very high,Very high,1378,2249,1037,-20,-1,-33,,,
1.6549243927,High,Inactive,Very high,Very high,1776,1696,1058,-18,-19,-26,,,
1.6764819622,High,Inactive,Very high,Very high,1595,1581,919,-18,-18,-23,,,
1.696359396,High,Inactive,Very high,Very high,1512,2207,837,-13,-6,-16,,,
