time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0,High,Blocking,Very High,Medium,37,529,931,4,9,-19,0.4146984816,0.8242360353,0.8168364167
0.0187492371,High,Blocking,Very High,Medium,134,191,648,1,13,-5,,,
0.0389137268,High,Blocking,Very High,Medium,297,44,454,-3,15,-9,,,
0.0605671406,High,Blocking,Very High,Medium,557,51,277,-6,15,-14,,,
0.0795533657,High,Blocking,Very High,Medium,1091,457,96,-9,14,-12,,,
0.0807590485,High,Blocking,Very High,Medium,,,,,,,0.4282431901,0.8105533123,0.8198770285
0.1004226208,High,Blocking,Very High,Medium,1176,685,125,-8,14,-6,,,
0.1205596924,High,Blocking,Very High,Medium,1131,874,135,-8,18,-4,,,
0.1413085461,High,Blocking,Very High,Medium,1171,1126,-60,-8,32,-11,,,
0.1557986736,High,Blocking,Very High,Medium,,,,,,,0.4395188093,0.7569718361,0.8317840099
0.1635425091,High,Blocking,Very High,Medium,1453,1093,-168,-8,36,-14,,,
0.1819782257,High,Blocking,Very High,Medium,1835,1007,-281,-9,31,-11,,,
0.2026364803,High,Blocking,Very High,Medium,2244,1067,-419,-10,13,0,,,
0.2228484154,High,Blocking,Very High,Medium,,,,,,,0.4050510824,0.7339777946,0.8368937969
0.2230660915,High,Blocking,Very High,Medium,2163,1148,-421,-11,10,0,,,
0.2436659336,High,Blocking,Very High,Medium,2030,1268,-411,-12,10,-2,,,
0.264793396,High,Blocking,Very High,Medium,1974,1679,-270,-15,12,-7,,,
0.2844111919,High,Blocking,Very High,Medium,1955,1916,-61,-14,12,-7,,,
0.2871315479,High,Blocking,Very High,Medium,,,,,,,0.3856577873,0.7125554681,0.8416543603
0.3050589561,High,Blocking,Very High,Medium,1731,2271,486,-11,14,-5,,,
0.3256938457,High,Blocking,Very High,Medium,1729,2298,648,-8,15,-3,,,
0.3459508419,High,Blocking,Very High,Medium,1866,2239,688,-6,13,-1,,,
0.3542761803,High,Blocking,Very High,Medium,,,,,,,0.393286854,0.6853436828,0.8477014303
0.3671276569,High,Blocking,Very High,Medium,2227,2219,312,0,2,7,,,
0.3871057034,High,Blocking,Very High,Medium,2066,2071,236,3,3,13,,,
0.4077787399,High,Blocking,Very High,Medium,1667,1428,809,7,17,18,,,
0.4228174686,High,Blocking,Very High,Medium,,,,,,,0.4089577496,0.6561322808,0.854192853
0.4282968044,High,Blocking,Very High,Medium,314,-2401,2890,-1,10,22,,,
0.4482753277,High,Blocking,Very High,Medium,-211,-3932,4059,-8,-23,20,,,
0.4689114094,High,Blocking,Very High,Medium,-1929,-4302,4072,-16,-45,29,,,
0.4869375229,High,Blocking,Very High,Medium,,,,,,,0.4196852148,0.6401833892,0.8577370048
0.4891681671,High,Blocking,Very High,Medium,-3908,-3028,3642,-25,32,33,,,
0.5101287365,High,Blocking,Very High,Medium,-2393,-2686,3571,-23,43,36,,,
0.5307869911,High,Blocking,Very High,Medium,254,-2039,1610,-21,11,20,,,
0.5532963276,High,Blocking,Very High,Medium,,,,,,,0.4174042642,0.6167111993,0.8629530668
0.5548269749,High,Blocking,Very High,Medium,771,-1639,612,-22,1,11,,,
0.5759108067,High,Blocking,Very High,Medium,898,-1217,-85,-20,0,5,,,
0.5960378647,High,Blocking,Very High,Medium,852,-776,-564,-18,3,8,,,
0.6163055897,High,Blocking,Very High,Medium,825,-560,-846,-13,10,14,,,
0.62383461,High,Blocking,Very High,Medium,,,,,,,0.4289306104,0.6032456756,0.8659453988
0.6368727684,High,Blocking,Very High,Medium,1185,-646,-1143,-10,19,12,,,
0.6573972702,High,Blocking,Very High,Medium,1392,-616,-1127,-8,15,6,,,
0.6779494286,High,Blocking,Very High,Medium,1400,-445,-1093,-6,12,1,,,
